"","AccSpeciesID","AccSpeciesName","median_height","uid"
"129",496,"Acacia obliquinervia",4.2,"1174853"
"130",509,"Acacia oswaldii",6,"139013"
"131",510,"Acacia oxycedrus",3,"866005"
"132",515,"Acacia paradoxa",0.4,"139014"
"133",517,"Acacia parvipinnula",6,"205058"
"134",522,"Acacia penninervis",2,"138039"
"135",535,"Acacia platycarpa",10,"138519"
"136",539,"Acacia podalyriifolia",4.5,"205059"
"137",548,"Acacia prominens",15,"795979"
"138",555,"Acacia pycnantha",8,"880440"
"139",562,"Acacia ramulosa",6,"205061"
"140",568,"Acacia retinodes",10,"1050817"
"141",571,"Acacia richii",16,"3083522"
"142",572,"Acacia rigens",2.5,"694556"
"143",584,"Acacia salicina",20,"479624"
"144",585,"Acacia saligna",3.221,"420411"
"145",587,"Acacia schinoides",15,"1120469"
"146",603,"Acacia sieberiana",18,"546664"
"147",607,"Acacia sp",12.565,NA
"148",611,"Acacia stenophylla",15,"1120470"
"149",615,"Acacia stricta",2,"1680470"
"150",617,"Acacia suaveolens",2.5,"138523"
"151",631,"Acacia terminalis",3,"383657"
"152",632,"Acacia tetragonophylla",5.5,"694559"
"153",642,"Acacia trineura",2,"1378425"
"154",647,"Acacia ulicifolia",2.6215,"1378427"
"155",649,"Acacia uncinata",1.5,"1173669"
"156",654,"Acacia verniciflua",8,"1120475"
"157",658,"Acacia victoriae",9,"138524"
"158",666,"Acacia wilhelmiana",1.65,"1173670"
"159",674,"Acaena agnipila",0.45,"2732280"
"160",676,"Acaena anserinifolia",0.15,"281857"
"161",686,"Acaena magellanica",0.09,"281911"
"162",688,"ACAENA NOVAE-ZELANDIAE",0.065,"281871"
"163",690,"Acaena ovina",0.0122,"2732287"
"164",697,"Acaena sp",0.0473,NA
"165",698,"Acaena splendens",0.05,"281875"
"166",703,"Acalypha acrogyna",3,"2906894"
"167",704,"Acalypha allenii",0.5,"2906896"
"168",705,"Acalypha ambigua",0.5,NA
"169",709,"Acalypha brachystachya",0.3,"2906906"
"170",710,"Acalypha caperonioides",0.4,NA
"171",712,"Acalypha chirindica",5,"1237393"
"172",713,"Acalypha ciliata",1.3,"1377996"
"173",716,"Acalypha clutioides",0.5,NA
"174",720,"Acalypha dikuluwensis",0.25,NA
"175",721,"Acalypha diversifolia",10.37,"681400"
"176",724,"Acalypha fruticosa",4,"2878459"
"177",725,"Acalypha fuscescens",0.3,NA
"178",726,"Acalypha glabrata",5,"992628"
"179",729,"Acalypha hispida",2,"197604"
"180",730,"Acalypha indica",1.2,"478095"
"181",733,"Acalypha macrostachya",9.925,"681401"
"182",737,"Acalypha nyasica",0.15,"2906967"
"183",738,"Acalypha ornata",5,"2906969"
"184",740,"Acalypha polymorpha",0.45,"2906978"
"185",741,"Acalypha psilostachya",3,"2906980"
"186",742,"Acalypha pubiflora",6,"2906981"
"187",744,"Acalypha segetalis",0.5,NA
"188",745,"Acalypha skutchii",4,NA
"189",747,"Acalypha sp",0.6,NA
"190",750,"Acalypha virginica",0.6,"1532233"
"191",751,"Acalypha welwitschiana",2,"2907002"
"192",752,"Acalypha wilkesiana",1.5,"217498"
"193",775,"Acanthospermum hispidum",0.23,"182999"
"194",777,"Acanthosyris annonagustata",30,NA
"195",787,"Acca sellowiana",12.903,"260130"
"196",793,"Acer barbinerve",12,"171204"
"197",794,"Acer buergerianum",20,"57649"
"198",795,"Acer caesium",25,"171881"
"199",796,"Acer campbellii",11.5,"290842"
"200",797,"Acer campestre",15,"66205"
"201",798,"Acer capillipes",10,"171205"
"202",799,"Acer cappadocicum",22.5,"169053"
"203",802,"Acer caudatum",20,"290844"
"204",803,"Acer circinatum",8,"66207"
"205",809,"Acer davidii",15,"168559"
"206",812,"Acer distylum",15.6,"66210"
"207",813,"Acer erianthum",11.5,"290843"
"208",816,"Acer garrettii",20.5,"392737"
"209",818,"Acer glabrum",11,"75744"
"210",819,"Acer granatense",0.24,"2499985"
"211",820,"Acer grandidentatum",12.2,"291206"
"212",821,"Acer griseum",12,"168561"
"213",823,"Acer heldreichii",15,"290837"
"214",825,"Acer hyrcanum",6,"290838"
"215",826,"Acer japonicum",9,"47966"
"216",828,"Acer laevigatum",15,"355900"
"217",829,"Acer laurinum",6.62,"134797"
"218",830,"Acer leucoderme",8.25,"407037"
"219",832,"Acer lucidum",10,"392738"
"220",833,"Acer macrophyllum",21,"66211"
"221",834,"Acer mandshuricum",25,"168564"
"222",835,"Acer maximowiczianum",5,"171213"
"223",836,"Acer micranthum",9.2,"66212"
"224",837,"Acer miyabei",20,"171214"
"225",839,"Acer monspessulanum",5,"168566"
"226",841,"Acer negundo",9,"4023"
"227",842,"Acer nigrum",25,"291207"
"228",845,"Acer oblongum",10,"57651"
"229",846,"Acer obtusatum",9,"269405"
"230",847,"Acer obtusifolium",10,"379323"
"231",848,"Acer opalus",12,"168567"
"232",849,"Acer palmatum",10,"66201"
"233",850,"Acer pectinatum",15,"392739"
"234",852,"Acer pensylvanicum",2.146,"66214"
"235",853,"Acer pictum",14.45,"290845"
"236",854,"Acer platanoides",25,"4025"
"237",855,"Acer pseudoplatanus",18,"4026"
"238",857,"Acer pseudosieboldianum",8,"47968"
"239",859,"Acer rubrum",0.068,"45314"
"240",860,"Acer rufinerve",19.54,"66215"
"241",861,"Acer saccharinum",26,"75745"
"242",863,"Acer saccharum",2.266,"4024"
"243",864,"Acer sempervirens",10,"290839"
"244",866,"Acer sieboldianum",9.1,"66217"
"245",868,"Acer sp",7.3,"2942657"
"246",869,"Acer spicatum",2.675,"57652"
"247",870,"Acer stachyophyllum",11,"171218"
"248",871,"Acer sterculiaceum",17.5,"369786"
"249",873,"Acer tataricum",6,"57650"
"250",874,"Acer tegmentosum",15,"57653"
"251",876,"Acer triflorum",25,"134799"
"252",877,"Acer truncatum",10,"47965"
"253",878,"Acer tschonoskii",5,"66218"
"254",880,"Acer velutinum",30,"290840"
"255",890,"Achillea ageratum",0.5,"282717"
"256",891,"Achillea alpina",0.6,"282718"
"257",893,"Achillea atrata",0.115,"282721"
"258",897,"Achillea clavennae",0.15,"282726"
"259",901,"Achillea collina",0.56,"282730"
"260",902,"Achillea crithmifolia",0.6,"282732"
"261",903,"Achillea distans",0.5,"282733"
"262",904,"Achillea erba-rotta",0.15,"282734"
"263",906,"Achillea filipendulina",0.1905,"282736"
"264",908,"Achillea macrophylla",0.65,"282746"
"265",909,"Achillea millefolium",0.15,"13329"
"266",911,"Achillea nana",0.0625,"282752"
"267",912,"Achillea nobilis",0.5,"282753"
"268",915,"Achillea pratensis",0.45,"282759"
"269",916,"Achillea ptarmica",0.65,"133233"
"270",917,"Achillea ptarmicoides",0.8,"466053"
"271",918,"Achillea roseo-alba",0.43,"282763"
"272",919,"Achillea salicifolia",0.625,"282764"
"273",930,"Achnatherum calamagrostis",0.45,"487912"
"274",934,"Achnatherum hymenoides",0.6096,"37671"
"275",938,"Achnatherum sibiricum",0.4495,"492770"
"276",941,"Achyranthes aspera",0.42,"240005"
"277",949,"Achyropsis leptostachya",0.375,"327031"
"278",963,"Acidosasa chinensis",8,"548139"
"279",965,"Acidosasa edulis",12,"591207"
"280",967,"Acidosasa lingchuanensis",4,NA
"281",968,"Acidosasa nanunica",7,"862974"
"282",969,"Acidosasa notata",8,"862975"
"283",970,"Acidosasa purpurea",10,"145980"
"284",971,"Acidosasa venusta",1.4,"3140410"
"285",980,"Aciphylla glacialis",0.19,"152661"
"286",984,"Acmella bellidioides",0.211818181818182,NA
"287",1004,"Acnistus arborescens",8,"362341"
"288",1008,"Acokanthera laevigata",12,NA
"289",1009,"Acokanthera oblongifolia",6,"52820"
"290",1010,"Acokanthera oppositifolia",3.5,"141525"
"291",1011,"Acokanthera rotundata",5,"141526"
"292",1015,"Aconitum alboviolaceum",1.5,"286050"
"293",1020,"Aconitum columbianum",1.524,"157970"
"294",1023,"Aconitum firmum",1.8,"1496655"
"295",1027,"Aconitum lycoctonum",1.25,"112589"
"296",1028,"Aconitum napellus",1,"112591"
"297",1031,"Aconitum plicatum",1.5,"1496660"
"298",1037,"Aconitum variegatum",1.4,"112594"
"299",1045,"Acorus calamus",1.2,"4465"
"300",1056,"Acrachne racemosa",0.75,"286684"
"301",1060,"Acridocarpus chloropterus",15,"1899092"
"302",1062,"Acridocarpus katangensis",6,NA
"303",1063,"Acridocarpus natalitius",5,"151788"
"304",1067,"Acrocarpus fraxinifolius",50,"162639"
"305",1086,"Acrocomia aculeata",12,"169987"
"306",1093,"Acronychia acronychioides",15,"354482"
"307",1105,"Acronychia oligophlebia",16,NA
"308",1107,"Acronychia pedunculata",12.5,"354485"
"309",1124,"Acrotriche divaricata",2,"55220"
"310",1126,"Acrotriche rigida",0.3,"281827"
"311",1130,"Actaea asiatica",0.61,"64022"
"312",1132,"Actaea rubra",0.25,"64024"
"313",1133,"Actaea spicata",0.3,"64025"
"314",1136,"Actinidia arguta",16.3,"64478"
"315",1138,"Actinidia chinensis",3,"3625"
"316",1140,"Actinidia kolomikta",3,"165710"
"317",1142,"Actinidia polygama",5,"64480"
"318",1147,"Actiniopteris radiata",0.13,"164268"
"319",1148,"Actinobole uliginosum",0.02,"125646"
"320",1158,"Actinodaphne longifolia",0.76,NA
"321",1162,"Actinodaphne multiflora",25.8,NA
"322",1163,"Actinodaphne obovata",18,"155287"
"323",1164,"Actinodaphne omeiensis",5,"317040"
"324",1170,"Actinokentia divaricata",9,"292735"
"325",1184,"Actinotus helianthi",0.3,"160769"
"326",1185,"Actinotus minor",0.3,NA
"327",1186,"Adansonia digitata",20,"69109"
"328",1188,"Adansonia rubrostipa",25,"69114"
"329",1191,"Adelia triloba",20.60875,"353064"
"330",1205,"Adenanthera pavonina",30,"3811"
"331",1208,"Adenanthos cygnorum",3.5,NA
"332",1213,"Adenia erecta",0.4,NA
"333",1215,"Adenia glauca",3.5,"387506"
"334",1216,"Adenia goetzei",0.35,"387509"
"335",1220,"Adenia karibaensis",4.5,"387517"
"336",1224,"Adenia ovata",0.075,"387530"
"337",1231,"Adenia spinosa",0.5,"387549"
"338",1246,"Adenocarpus complicatus",2,"49788"
"339",1247,"Adenocarpus decorticans",1.5,"175395"
"340",1251,"Adenocarpus mannii",4.5,"175396"
"341",1252,"Adenocarpus telonensis",1.5,"49790"
"342",1253,"Adenocarpus viscosus",1.5,"49791"
"343",1254,"Adenocaulon bicolor",0.4,"496616"
"344",1256,"Adenodolichos baumii",1.5,"2730136"
"345",1257,"Adenodolichos exellii",1.7,NA
"346",1258,"Adenodolichos huillensis",0.75,NA
"347",1260,"Adenodolichos punctatus",1.225,"2730123"
"348",1269,"Adenophora gmelinii",0.7,"226224"
"349",1271,"Adenophora liliifolia",0.65,"361368"
"350",1275,"Adenophora stenanthina",0.5,"82278"
"351",1278,"Adenophora triphylla",0.9,"187269"
"352",1285,"Adenostoma fasciculatum",2.824,"140993"
"353",1286,"Adenostoma sparsifolium",5.4,"32216"
"354",1287,"Adenostyles alliariae",0.73,"1346275"
"355",1288,"Adenostyles alpina",0.395,"462377"
"356",1305,"ADIANTUM CAPILLUS-VENERIS",0.3,"13818"
"357",1309,"Adiantum formosum",0.4,"911566"
"358",1317,"Adiantum pedatum",0.33,"29590"
"359",1323,"Adina cordifolia",4.25,"43493"
"360",1327,"Adina pilulifera",2,"170035"
"361",1329,"Adina racemosa",15,NA
"362",1334,"Adinandra bockiana",4,"1007872"
"363",1339,"Adinandra dumosa",15.5,"55391"
"364",1342,"Adinandra hainanensis",25,"197078"
"365",1360,"Adonis aestivalis",0.4,"113211"
"366",1361,"Adonis annua",0.25,"212759"
"367",1363,"Adonis flammea",0.3875,"1532246"
"368",1364,"Adonis vernalis",0.2875,"46985"
"369",1365,"Adoxa moschatellina",0.0625,"4208"
"370",1382,"Aegiceras corniculatum",3,"59970"
"371",1392,"Aegilops cylindrica",0.45,"130456"
"372",1393,"Aegilops geniculata",0.17,"130459"
"373",1395,"Aegilops kotschyi",0.16667,"130458"
"374",1400,"Aegilops neglecta",0.1,"130460"
"375",1408,"Aegilops triuncialis",0.3,"39391"
"376",1410,"Aegilops uniaristata",0.275,"4492"
"377",1412,"Aegilops ventricosa",0.4,"116981"
"378",1417,"Aegiphila costaricensis",6,"245854"
"379",1423,"Aegiphila integrifolia",13.125,"2072212"
"380",1428,"Aegiphila panamensis",14.82145816,"681402"
"381",1436,"Aegle marmelos",10,"68527"
"382",1438,"Aegopodium alpestre",1,"52445"
"383",1439,"Aegopodium podagraria",0.4,"40902"
"384",1467,"Aeonium urbicum",0.4,"111161"
"385",1489,"Aerva javanica",0.8,"240009"
"386",1502,"Aeschynomene abyssinica",2.65,"1330073"
"387",1503,"Aeschynomene afraspera",2,"552031"
"388",1504,"Aeschynomene americana",1.75,"134032"
"389",1506,"Aeschynomene aphylla",0.8,NA
"390",1507,"Aeschynomene baumii",1,NA
"391",1508,"Aeschynomene bracteosa",0.0425,"3083607"
"392",1509,"Aeschynomene chimanimaniensis",0.9,NA
"393",1510,"Aeschynomene cristata",3,"561491"
"394",1511,"Aeschynomene elaphroxylon",9,"552033"
"395",1512,"Aeschynomene elegans",0.3,"1903074"
"396",1515,"Aeschynomene fulgida",2.1,NA
"397",1516,"Aeschynomene gazensis",1.35,"3083611"
"398",1517,"Aeschynomene glabrescens",0.325,NA
"399",1518,"Aeschynomene glauca",0.25,NA
"400",1519,"Aeschynomene grandistipulata",2.1,NA
"401",1520,"Aeschynomene heurckeana",2.55,"2182446"
"402",1521,"Aeschynomene indica",1.4,"48135"
"403",1522,"Aeschynomene inyangensis",0.75,NA
"404",1523,"Aeschynomene katangensis",0.475,NA
"405",1525,"Aeschynomene leptophylla",1.7,"3083616"
"406",1526,"Aeschynomene mediocris",0.9,"2182448"
"407",1527,"Aeschynomene megalophylla",3.6,NA
"408",1529,"Aeschynomene mimosifolia",1.5,"3083617"
"409",1530,"Aeschynomene minutiflora",0.375,"3083618"
"410",1533,"Aeschynomene mossoensis",1,NA
"411",1534,"Aeschynomene multicaulis",0.235,"3083620"
"412",1536,"Aeschynomene nilotica",1.75,"561493"
"413",1537,"Aeschynomene nodulosa",3.6,NA
"414",1539,"Aeschynomene nyikensis",2.1,"3083622"
"415",1540,"Aeschynomene oligophylla",0.255,"3083623"
"416",1542,"Aeschynomene pararubrofarinacea",3,NA
"417",1544,"Aeschynomene pfundii",2.85,"107306"
"418",1546,"Aeschynomene pseudoglabrescens",0.25,NA
"419",1547,"Aeschynomene pygmaea",0.785,"2182450"
"420",1549,"Aeschynomene rubrofarinacea",2.55,"3083629"
"421",1552,"Aeschynomene schimperi",1.8,"552035"
"422",1553,"Aeschynomene schliebenii",4.5,"3083630"
"423",1554,"Aeschynomene semilunaris",3,NA
"424",1555,"Aeschynomene sensitiva",1.5,"552036"
"425",1557,"Aeschynomene sp",1.2,NA
"426",1558,"Aeschynomene sparsiflora",0.2,NA
"427",1560,"Aeschynomene stolzii",1.2,"3083632"
"428",1562,"Aeschynomene tenuirama",1.15,"3083633"
"429",1563,"Aeschynomene trigonocarpa",1.9,"3083634"
"430",1564,"Aeschynomene uniflora",1.25,"561496"
"431",1565,"Aeschynomene venulosa",0.4,NA
"432",1566,"Aesculus californica",9.144,"307252"
"433",1568,"Aesculus chinensis",22.5,"290911"
"434",1569,"Aesculus flava",27,"322040"
"435",1570,"Aesculus glabra",21.3,"322042"
"436",1571,"Aesculus hippocastanum",25,"43364"
"437",1575,"Aesculus pavia",4.8288,"43872"
"438",1577,"Aesculus sylvatica",14.9352,"322041"
"439",1578,"Aesculus turbinata",30,"83375"
"440",1581,"Aethionema arabicum",0.125,"228871"
"441",1582,"Aethionema carlsbergii",0.08,NA
"442",1584,"Aethionema cordatum",0.125,"1907796"
"443",1587,"Aethionema orbiculatum",0.06,"1907811"
"444",1589,"Aethionema retsina",0.2,"1907812"
"445",1590,"Aethionema saxatile",0.15,"202778"
"446",1592,"Aethionema thomasianum",0.085,"1532249"
"447",1593,"Aethusa cynapium",0.625,"40954"
"448",1595,"Aextoxicon punctatum",0.28,"39268"
"449",1599,"Afrocarpus falcatus",30,"56897"
"450",1613,"Afzelia bipindensis",35,"162643"
"451",1619,"Afzelia quanzensis",35,"162644"
"452",1622,"Afzelia xylocarpa",40,"543392"
"453",1634,"Agapanthus africanus",0.56,"51501"
"454",1636,"Agapanthus praecox",1,"186128"
"455",1639,"Agapetes mannii",0.6,"1876775"
"456",1641,"Agapetes serpens",0.6,"57521"
"457",1647,"Agarista eucalyptoides",1.25583333333333,NA
"458",1651,"Agarista salicifolia",14.575,"49175"
"459",1654,"Agastache nepetoides",1.438,"672814"
"460",1657,"Agastache urticifolia",1.524,"268936"
"461",1662,"Agathis australis",5,"58027"
"462",1664,"Agathis dammara",38,"60851"
"463",1673,"Agathisanthemum bojeri",0.875,"58372"
"464",1674,"Agathisanthemum globosum",0.65,"499956"
"465",1679,"Agave americana",1.6644,"39510"
"466",1684,"Agave deserti",1,"382119"
"467",1687,"Agave fourcroydes",1.08,"1824557"
"468",1703,"Agave sisalana",1.54,"442491"
"469",1706,"Agave tequilana",1,"386106"
"470",1708,"Agave utahensis",0.3048,"1511521"
"471",1709,"Agave virginica",0.71,"39545"
"472",1722,"Ageratina adenophora",0.8,"176616"
"473",1723,"Ageratina altissima",0.495,"102750"
"474",1729,"Ageratina riparia",0.72,"287013"
"475",1730,"Ageratina sp",1.206666667,NA
"476",1731,"Ageratinastrum palustre",1,NA
"477",1732,"Ageratinastrum polyphyllum",1,NA
"478",1733,"Ageratum conyzoides",0.54,"68299"
"479",1734,"Ageratum houstonianum",0.6,"55598"
"480",1742,"Aglaia argentea",1.28,"306493"
"481",1751,"Aglaia elaeagnoidea",6.5,"201007"
"482",1756,"Aglaia flavida",35,NA
"483",1759,"Aglaia grandis",9,"306506"
"484",1763,"Aglaia lawii",20,"306522"
"485",1773,"Aglaia odoratissima",6,"306509"
"486",1775,"Aglaia perviridis",14,"306512"
"487",1784,"Aglaia spectabilis",25,"306526"
"488",1795,"Agonandra brasiliensis",22,"2743197"
"489",1797,"Agonandra silvatica",18,"1186077"
"490",1799,"Agonis flexuosa",10,"106026"
"491",1803,"Agoseris aurantiaca",0.1148,"231835"
"492",1805,"Agoseris glauca",0.11,"1234494"
"493",1806,"Agoseris grandiflora",0.54864,"161745"
"494",1809,"Agrimonia bracteata",1,"3083639"
"495",1810,"Agrimonia eupatoria",0.55,"57912"
"496",1811,"Agrimonia gryposepala",1.79832,"932091"
"497",1814,"Agrimonia pilosa",0.5,"74656"
"498",1815,"Agrimonia procera",1.25,"1155245"
"499",1816,"Agrimonia pubescens",0.705,"1655175"
"500",1817,"Agrimonia repens",0.74,"1973284"
"501",1822,"Agriophyllum squarrosum",0.25,"240019"
"502",1833,"Agropyron cristatum",0.389,"4593"
"503",1836,"Agropyron desertorum",0.27,"382394"
"504",1839,"Agropyron fragile",0.9144,"479945"
"505",1847,"Agropyron michnoi",0.3,"479947"
"506",1869,"Agrostemma githago",0.7,"39848"
"507",1874,"Agrostis agrostiflora",0.275,NA
"508",1877,"Agrostis alpina",0.07,"1395541"
"509",1904,"Agrostis canina",0.425,"218142"
"510",1905,"Agrostis capillaris",0.271,"204232"
"511",1907,"Agrostis castellana",0.35,"345914"
"512",1911,"Agrostis continuata",0.6,NA
"513",1912,"Agrostis curtisii",0.6,"1155246"
"514",1929,"Agrostis exarata",0.9144,"345915"
"515",1937,"Agrostis gigantea",0.846,"345916"
"516",1957,"Agrostis hyemalis",0.515,"481245"
"517",1959,"Agrostis idahoensis",0.42672,"345917"
"518",1971,"Agrostis kilimandscharica",0.16,NA
"519",1987,"Agrostis lyallii",0.097,"1899340"
"520",1996,"Agrostis mertensii",0.12,"345918"
"521",2002,"Agrostis montevidensis",0.229358974358974,"2819928"
"522",2003,"Agrostis muelleriana",0.0332,"294264"
"523",2006,"Agrostis muscosa",0.0043,"294267"
"524",2020,"Agrostis pallens",0.6096,"345919"
"525",2027,"Agrostis perennans",1.0668,"568787"
"526",2037,"Agrostis pourretii",0.180065,"2731260"
"527",2046,"Agrostis rupestris",0.049,"1395542"
"528",2050,"Agrostis scabra",13.8,"345920"
"529",2055,"Agrostis schleicheri",0.2,"1532250"
"530",2065,"Agrostis stolonifera",0.345,"63632"
"531",2066,"Agrostis striata",0.052,NA
"532",2101,"Agrostis vinealis",0.15,"247443"
"533",2113,"Aichryson divaricatum",0.1,"283705"
"534",2116,"Aichryson parlatorei",0.05,"283711"
"535",2119,"Aidia cochinchinensis",10,"1008931"
"536",2124,"Ailanthus altissima",25,"2768810"
"537",2126,"Ailanthus fordii",5,"459108"
"538",2133,"Ailanthus triphysa",20,"459110"
"539",2134,"Ainsworthia trachycarpa",0.4,"489408"
"540",2136,"Aiouea grandifolia",20,"1987956"
"541",2139,"Aiouea saligna",0.76875,"1472299"
"542",2143,"Aira caryophyllea",0.08,"336211"
"543",2144,"Aira cupaniana",0.1205,"389627"
"544",2146,"Aira elegantissima",0.25,"1211427"
"545",2147,"Aira praecox",0.1,"281066"
"546",2148,"Aira provincialis",0.2,NA
"547",2156,"Aizoon canariense",0.2,"215926"
"548",2158,"Ajania fruticulosa",0.2,"99024"
"549",2160,"Ajania tibetica",0.06,"1115760"
"550",2162,"Ajuga chamaepitys",0.1,"49984"
"551",2165,"Ajuga genevensis",0.2,"1532251"
"552",2168,"Ajuga iva",0.05,"2026104"
"553",2170,"Ajuga pyramidalis",0.15,"1532252"
"554",2172,"Ajuga reptans",0.05,"38596"
"555",2174,"Akania bidwillii",12.86666667,"19375"
"556",2176,"Akebia quinata",10,"13331"
"557",2177,"Akebia trifoliata",5,"155132"
"558",2178,"Alafia caudata",13,"1792026"
"559",2184,"Alafia zambesiaca",8.25,NA
"560",2185,"Alangium alpinum",15,"2054433"
"561",2186,"Alangium chinense",15,"16897"
